width,length,type,region,model,height-min,height-max,stories,shape,library,tags

# Great Britain France 
Ireland and Netherlands
3.5,11.5,residential,GB;IE,objects/houses/EU/GB/RES_3.5x11.5_UK_1.obj,,,2,SQ,W2XP,Black
3.5,11.5,residential,GB;IE,objects/houses/EU/GB/RES_3.5x11.5_UK_2.obj,,,2,SQ,W2XP,Black
6.0,9.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x09_2_UK_1.obj,,,2,SQ,W2XP,Black
6.0,9.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x09_2_UK_2.obj,,,2,SQ,W2XP,Black
6.0,9.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x09_2_UK_3.obj,,,2,SQ,W2XP,Red
6.0,9.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x09_2_UK_4.obj,,,2,SQ,W2XP,Red
6.0,8.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x08_2_UK_1.obj,,,2,SQ,W2XP,Black
6.0,8.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x08_2_UK_2.obj,,,2,SQ,W2XP,Black
6.0,8.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x08_2_UK_3.obj,,,2,SQ,W2XP,Red
6.0,8.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x08_2_UK_4.obj,,,2,SQ,W2XP,Red
6.0,10.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x10_2_UK_1.obj,,,2,SQ,W2XP,Black
6.0,10.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x10_2_UK_2.obj,,,2,SQ,W2XP,Black
6.0,10.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x10_2_UK_3.obj,,,2,SQ,W2XP,Red
6.0,10.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x10_2_UK_4.obj,,,2,SQ,W2XP,Red
7.0,10.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_07x10_2_UK_1.obj,,,2,SQ,W2XP,Black
7.0,10.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_07x10_2_UK_1.obj,,,2,SQ,W2XP,Black
7.0,8.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_07x08_2_UK_1.obj,,,2,SQ,W2XP,Black
7.0,8.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_07x08_2_UK_2.obj,,,2,SQ,W2XP,Black
5.0,11.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_05x11_2_UK_1.obj,,,2,SQ,W2XP,Black
5.0,13.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_05x13_2_UK_1.obj,,,2,SQ,W2XP,Black
5.0,13.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_05x13_2_UK_2.obj,,,2,SQ,W2XP,Black
6.0,11.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x11_2_UK_1.obj,,,2,SQ,W2XP,Black
6.0,11.0,residential,GB;IE;NL,objects/houses/EU/GB/RES_06x11_2_UK_2.obj,,,2,SQ,W2XP,Black
6.65,8.13,residential,GB;IE,objects/houses/EU/GB/R_6.65x8.13_UK_1.obj,,,2,SQ,W2XP
6.65,8.13,residential,GB;IE,objects/houses/EU/GB/R_6.65x8.13_UK_2.obj,,,2,SQ,W2XP
6.20,8.60,residential,GB;IE,objects/houses/EU/GB/R_6.20x8.60_UK_1.obj,,,2,SQ,W2XP
9.0,8.0,residential,GB;IE,objects/houses/EU/GB/R_9.0x8.0_UK.obj,,,,SQ,W2XP
10.0,12.0,residential,GB;IE,objects/houses/EU/GB/R_10.0x12.0_UK_3.obj,,,2,SQ,W2XP
4.71,8.71,residential,GB;IE,objects/houses/EU/GB/R_4.71x8.71_UK_1.obj,,,2,SQ,W2XP
4.71,8.71,residential,GB;IE,objects/houses/EU/GB/R_4.71x8.71_UK_2.obj,,,2,SQ,W2XP
3.76,7.95,residential,GB;IE,objects/houses/EU/GB/R_3.76x7.95_UK_1.obj,,,2,SQ,W2XP
